"sample_id","post_coi_lower","post_coi_med","post_coi_upper","post_coi_mean","naive_coi","offset_naive_coi","prob_polyclonal"
"Z20179",1,1,1,1,1,1,0
"Z20181",2,2,2,2.007,4,2,1
"Z20182",1,1,1,1.002,1,1,0.002
"Z20189",1,1,1,1,1,1,0
"Z20190",2,3,4,2.893,3,2,1
"Z20192",1,1,1,1,1,1,0
"Z20194",1,1,1,1,1,1,0
"Z20197",4,4,5,4.103,4,4,1
"Z20198",1,1,1,1,1,1,0
"Z20203",3,3,3,3.001,3,3,1
"Z20204",1,1,1,1,1,1,0
"Z20207",1,1,1,1,2,1,0
"Z20211",1,1,1,1,1,1,0
"Z20214",1,1,1,1.001,1,1,0.001
"Z20219",3,3,5,3.251,3,3,1
"Z20220",2,3,4,2.993,3,2,1
"Z20221",2,2,3,2.089,2,2,0.998
"Z20222",2,2,2,2,2,2,1
"Z20227",2,2,3,2.064,3,2,1
"Z20231",3,3,4,3.078,3,3,1
"Z20233",1,1,1,1,1,1,0
"Z20238",1,1,1,1,1,1,0
"Z20242",1,1,1,1,1,1,0
"Z20245",4,4,6,4.574,4,4,1
"Z20247",2,3,4,2.816,3,2,1
"Z20248",1,1,1,1,1,1,0
"Z20249",2,2,2,2.03,2,2,1
"Z20252",1,1,1,1,1,1,0
"Z20256",1,1,1,1,1,1,0
"Z20262",1,1,1,1,1,1,0
"Z20263",1,1,1,1,1,1,0
"Z20264",1,1,1,1,1,1,0
"Z20265",1,1,1,1,1,1,0
"Z20267",2,2,2,2,3,2,1
"Z20268",2,3,4,2.663,3,2,1
"Z20271",1,1,1,1,1,1,0
"Z20272",1,1,1,1,1,1,0
"Z20273",1,1,1,1.017,2,2,0.017
"Z20278",3,3,5,3.367,3,3,1
"Z20279",1,1,1,1,1,1,0
"Z20284",2,2,2,2.02,2,2,1
"Z20287",1,1,1,1,1,1,0
"Z20288",1,1,1,1,2,1,0
"Z20289",1,1,1,1,1,1,0
"Z20291",1,1,1,1,1,1,0
"Z20293",1,1,1,1,1,1,0
"Z20302",2,2,2,2.027,3,3,1
"Z20305",1,1,1,1,1,1,0
"Z20308",2,2,3,2.037,2,2,1
"Z20309",4,4,5,4.041,4,4,1
"Z20312",1,1,1,1,1,1,0
"Z20313",2,2,2,2.007,2,2,1
"Z20314",1,1,2,1.229,2,2,0.217
"Z20315",3,4,5,3.82,4,3,1
"Z20316",4,4,5,4.101,4,4,1
"Z20317",1,1,1,1,1,1,0
"Z20318",1,1,1,1,1,1,0
"Z20320",3,3,3,3.042,5,4,1
"Z20323",4,4,5,4.194,4,4,1
"Z20324",2,2,2,2,2,2,1
"Z20328",1,1,1,1,1,1,0
"Z20330",1,1,1,1,1,1,0
"Z20332",1,1,1,1,1,1,0
"Z20335",1,1,1,1.02,1,1,0.014
"Z20336",1,1,1,1,1,1,0
"Z20337",1,1,1,1,1,1,0
"Z20338",1,1,1,1,1,1,0
"Z20339",2,2,3,2.046,2,2,1
"Z20340",1,1,1,1.003,1,1,0.003
"Z20341",1,1,1,1,1,1,0
"Z20342",1,1,1,1,1,1,0
"Z20343",3,3,4,3.09,3,3,1
"Z20344",2,2,2,2.012,2,2,1
"Z20347",1,1,1,1,1,1,0
"Z20349",2,3,3,2.555,3,3,1
"Z20353",1,1,1,1,1,1,0
"Z20354",1,1,1,1,1,1,0
"Z20362",1,1,1,1,1,1,0
"Z20366",2,2,2,2,2,2,1
"Z20369",2,2,3,2.078,2,2,1
"Z20370",1,1,1,1,1,1,0
"Z20371",1,1,2,1.099,2,2,0.089
"Z20372",1,1,1,1.005,2,2,0.004
"Z20378",2,2,2,2.022,4,2,1
"Z20380",2,2,2,2.003,2,2,1
"Z20382",1,1,1,1,1,1,0
"Z20388",2,2,2,2.021,2,2,1
"Z20390",2,2,2,2,2,2,1
"Z20394",2,2,3,2.098,2,2,1
"Z20395",1,1,1,1,1,1,0
"Z20396",3,4,5,3.947,4,3,1
"Z20398",2,2,2,2,2,2,1
"Z20399",1,1,1,1,1,1,0
"Z20400",4,5,6,4.856,5,4,1
"Z20404",3,3,3,3,4,3,1
"Z20405",2,2,2,2,2,2,1
"Z20415",1,1,1,1,1,1,0
"Z20416",2,2,3,2.099,2,2,1
"Z20417",2,2,3,2.102,2,2,1
"Z20419",1,1,1,1,1,1,0
