"locus","post_stat_lower","post_stat_med","post_stat_upper","post_stat_mean"
"Pf3D7_01_v3-145388-145662-1A",0.493004283607601,0.571333880241383,0.640728012411861,0.57026261298856
"Pf3D7_01_v3-162867-163115-1A",0.588193276251318,0.676455657768692,0.73131628028672,0.671355818050229
"Pf3D7_01_v3-181512-181761-1A",0.656584090269264,0.690260043789684,0.720249885157851,0.689338906160669
"Pf3D7_01_v3-455794-456054-1A",0.174513115784087,0.255992178876535,0.347454021000373,0.257563539920219
"Pf3D7_01_v3-528859-529104-1A",0.683189867488224,0.730055831970546,0.771188861071494,0.729137236143279
"Pf3D7_01_v3-535965-536239-1A",0.761626730718443,0.796227710322158,0.827359287627341,0.795268693865754
"Pf3D7_02_v3-290580-290821-1A",0.449213901939552,0.533881717280199,0.616306772999554,0.534457308432067
"Pf3D7_02_v3-291770-292017-1A",0.663651289670606,0.70490451346192,0.735359622861325,0.703975628354055
"Pf3D7_02_v3-470437-470709-1A",0.594087625517956,0.645559372202151,0.684524884486762,0.644178602360887
"Pf3D7_02_v3-503040-503288-1A",0.476462747124217,0.501551178307247,0.522915627050707,0.50143854597714
"Pf3D7_02_v3-628941-629172-1A",0.619261351118514,0.673868245763198,0.712778574472457,0.671545378583431
"Pf3D7_02_v3-630641-630907-1A",0.457106525325737,0.496514653081071,0.519901393548089,0.49387005553321
"Pf3D7_03_v3-515418-515657-1A",0.471341567815097,0.550888143191016,0.606142380593781,0.547286329834681
"Pf3D7_03_v3-653961-654206-1A",0.304962934488078,0.383421432477993,0.459371223499779,0.382838926994167
"Pf3D7_03_v3-85507-85756-1A",0.584051801241572,0.636977219775736,0.684629141526194,0.636447078334946
"Pf3D7_03_v3-855426-855697-1A",0.236020338370285,0.333196315481488,0.431664606075135,0.333777734063007
"Pf3D7_03_v3-891553-891827-1A",0.658903412556844,0.712017536306275,0.75961386085921,0.71126751405788
"Pf3D7_04_v3-1005938-1006187-1A",0.649223791256966,0.722918026674689,0.772672252823658,0.721000095340696
"Pf3D7_04_v3-1037644-1037891-1A",0.291485090615484,0.370513529568978,0.437680249696363,0.363937136223568
"Pf3D7_04_v3-109939-110184-1A",0.510842135209193,0.59158297954063,0.653462715385325,0.589208535838479
"Pf3D7_04_v3-1113397-1113639-1A",0.657008578996038,0.704462341711747,0.741775144593183,0.702923911407138
"Pf3D7_04_v3-115455-115684-1A",0.609156667876055,0.654419177364125,0.702797520235644,0.654731197981849
"Pf3D7_04_v3-133581-133830-1A",0.195825384153369,0.293695128262478,0.398765136107047,0.295719528627928
