"sample_id","post_relatedness_lower","post_relatedness_med","post_relatedness_upper","post_relatedness_mean"
"Z20179",NA,NA,NA,NA
"Z20181",0.0178975644987077,0.0664476230740547,0.148860538378358,0.0718276263605803
"Z20182",0.98726354688406,0.987316519021988,0.987369491159916,0.987316519021988
"Z20189",NA,NA,NA,NA
"Z20190",0.740384897589684,0.884969145059586,0.942467047274113,0.871944792032242
"Z20192",NA,NA,NA,NA
"Z20194",NA,NA,NA,NA
"Z20197",0.0615302888676524,0.146188348531723,0.361445444077253,0.159780550891534
"Z20198",NA,NA,NA,NA
"Z20203",0.0485609162598848,0.122218370437622,0.198292469605803,0.12149814657867
"Z20204",NA,NA,NA,NA
"Z20207",NA,NA,NA,NA
"Z20211",NA,NA,NA,NA
"Z20214",0.973372578620911,0.973372578620911,0.973372578620911,0.973372578620911
"Z20219",0.494262939691544,0.57687109708786,0.762808269262314,0.593098293572664
"Z20220",0.709070032835007,0.861288785934448,0.932147361338139,0.851015438318253
"Z20221",0.835703080892563,0.913142502307892,0.966481022536755,0.909796916470977
"Z20222",0.203444200754166,0.315255403518677,0.432165012508631,0.315869836732745
"Z20227",0.0646550381556153,0.156437583267689,0.502796570956707,0.175954779949039
"Z20231",0.312980119884014,0.409018099308014,0.601470324397087,0.418524617373943
"Z20233",NA,NA,NA,NA
"Z20238",NA,NA,NA,NA
"Z20242",NA,NA,NA,NA
"Z20245",0.281722472608089,0.41755622625351,0.598657648265362,0.422629137784243
"Z20247",0.603341518342495,0.812433511018753,0.896518471837044,0.78654838103056
"Z20248",NA,NA,NA,NA
"Z20249",0.389251248538494,0.497392535209656,0.630109646916389,0.50088483056426
"Z20252",NA,NA,NA,NA
"Z20256",NA,NA,NA,NA
"Z20262",NA,NA,NA,NA
"Z20263",NA,NA,NA,NA
"Z20264",NA,NA,NA,NA
"Z20265",NA,NA,NA,NA
"Z20267",0.0200427932664752,0.0714841596782207,0.155424415320158,0.0756184133403003
"Z20268",0.365892497450113,0.653345495462418,0.781458313763142,0.596378949597478
"Z20271",NA,NA,NA,NA
"Z20272",NA,NA,NA,NA
"Z20273",0.933500862121582,0.959066271781921,0.971504521369934,0.95613885977689
"Z20278",0.460312211513519,0.565166413784027,0.760259158909321,0.585900541394949
"Z20279",NA,NA,NA,NA
"Z20284",0.401161401718855,0.514000624418259,0.642805455625057,0.516838833272457
"Z20287",NA,NA,NA,NA
"Z20288",NA,NA,NA,NA
"Z20289",NA,NA,NA,NA
"Z20291",NA,NA,NA,NA
"Z20293",NA,NA,NA,NA
"Z20302",0.30995791181922,0.415339931845665,0.554654066264629,0.419704046458006
"Z20305",NA,NA,NA,NA
"Z20308",0.453392349928617,0.572522163391113,0.753872413933277,0.573832221269608
"Z20309",0.209392528608441,0.302610903978348,0.436798815429211,0.306117528215051
"Z20312",NA,NA,NA,NA
"Z20313",0.301854330301285,0.433534443378448,0.553219754993916,0.432538948833942
"Z20314",0.881598663330078,0.943955659866333,0.980507302284241,0.9398194062545
"Z20315",0.25759314969182,0.51026776432991,0.626161649823189,0.4796942165941
"Z20316",0.269589323550463,0.355661079287529,0.522737437486648,0.365814535319805
"Z20317",NA,NA,NA,NA
"Z20318",NA,NA,NA,NA
"Z20320",0.228167048469186,0.320374563336372,0.442993951588869,0.32511486685276
"Z20323",0.193981089442968,0.279652029275894,0.462177090346813,0.297523194849491
"Z20324",0.0665707271546125,0.142234556376934,0.253609010577202,0.147115297118202
"Z20328",NA,NA,NA,NA
"Z20330",NA,NA,NA,NA
"Z20332",NA,NA,NA,NA
"Z20335",0.948282806575298,0.984168291091919,0.996809743344784,0.981703323977334
"Z20336",NA,NA,NA,NA
"Z20337",NA,NA,NA,NA
"Z20338",NA,NA,NA,NA
"Z20339",0.549617463350296,0.65803724527359,0.818370395898819,0.659899054795504
"Z20340",0.986707729101181,0.986725509166718,0.987608113884926,0.987028956413269
"Z20341",NA,NA,NA,NA
"Z20342",NA,NA,NA,NA
"Z20343",0.53561003357172,0.621863216161728,0.762657068669796,0.62846861448884
"Z20344",0.233696857094765,0.362139284610748,0.489070501923561,0.363766518041492
"Z20347",NA,NA,NA,NA
