"sample_id","post_effective_coi_lower","post_effective_coi_med","post_effective_coi_upper","post_effective_coi_mean"
"IM-23-120-AFIT",1,1,1,1
"IM-23-120-AOQB",1,1,1,1
"IM-23-120-ATBC",1.1162912234664,1.18349760770798,1.27349112480879,1.1862328210175
"IM-23-120-ATSN",1,1,1,1
"IM-23-120-AVGS",1,1,1,1.00000637054443
"IM-23-120-AXGV",1.39404212087393,1.50800421833992,1.61881660297513,1.50916707428917
"IM-23-120-BFIW",1.35963715314865,1.46474981307983,1.57741678282618,1.46614511981606
"IM-23-120-BHTX",1,1,1,1
"IM-23-120-BNZQ",1,1,1,1
"IM-23-120-BXJW",1.30247196555138,1.41927915811539,1.53353164941072,1.41459207507968
"IM-23-120-CAJX",1.2867459654808,1.38622114062309,1.49911562204361,1.3881025981158
"IM-23-120-CBWK",1,1,1,1
"IM-23-120-CINZ",3.0327306561172,3.27539359033108,3.5290514446795,3.27751956748962
"IM-23-120-CLQY",1,1,1,1.00110388538241
"IM-23-120-CVVI",1,1,1.00031332522631,1.00126320773363
"IM-23-120-DLYC",1,1,1,1
"IM-23-120-DNPR",1.38053385466337,1.47869652509689,1.58334766551852,1.48113239941001
"IM-23-120-DTMM",1,1,1,1
"IM-23-120-DTPF",1.75119721777737,1.94751232862473,2.12675055414438,1.9448943775408
"IM-23-120-DUWS",1,1,1,1
"IM-23-120-DWIG",2.15088210999966,2.35180807113647,2.58430819883943,2.35362988379598
"IM-23-120-DWTL",1.3854546085,1.49816191196442,1.62288872674108,1.49978325267881
"IM-23-120-FGSV",1.86713378094137,1.94211110845208,1.98425624894444,1.93763058885676
"IM-23-120-FJIT",1.78240841329098,1.95132827758789,2.12873717546463,1.95278926375508
"IM-23-120-FVGH",1,1,1,1
"IM-23-120-GOFU",1.8276450201869,1.91795513406396,2.12235751152039,1.92244843975868
"IM-23-120-GQGH",3.71651940345764,4.04629737138748,4.41088058799505,4.05283906266093
"IM-23-120-GVHL",2.99043273925781,3.27609723806381,3.57528338730335,3.28021086462587
"IM-23-120-GVZD",1.351995010674,1.45299491286278,1.56129297316074,1.45329185800254
"IM-23-120-GYTW",1,1,1,1
"IM-23-120-HAYS",1,1,1,1
"IM-23-120-HKXV",1.41069937497377,1.52345663309097,1.63763604909182,1.52324280172586
