"sample_id","post_effective_coi_lower","post_effective_coi_med","post_effective_coi_upper","post_effective_coi_mean"
"Kam_Z20179",1,1,1,1
"Kam_Z20181",1.82496030963957,1.91639690101147,1.97225573603064,1.9117823376907
"Kam_Z20182",1,1,1,1
"Kam_Z20189",1,1,1,1
"Kam_Z20190",1.13515098690987,1.21422734856606,1.31783358156681,1.21623519545794
"Kam_Z20192",1,1,1,1
"Kam_Z20194",1,1,1,1
"Kam_Z20197",3.26881750449538,3.55020362883806,3.84213736951351,3.55184915140271
"Kam_Z20198",1,1,1,1
"Kam_Z20203",2.65736038088799,2.82187034189701,2.95001751650125,2.81585113045014
"Kam_Z20204",1,1,1,1
"Kam_Z20207",1,1,1,1
"Kam_Z20211",1,1,1,1
"Kam_Z20214",1,1,1,1.00007272356749
"Kam_Z20219",1.70990839600563,1.85495883226395,2.0447821572423,1.8596179817915
"Kam_Z20220",1.17645116448402,1.26534298062325,1.37783666551113,1.26837497872114
"Kam_Z20221",1.04499131441116,1.09174823760986,1.1645146086812,1.09485891568661
"Kam_Z20222",1.54773618429899,1.65511894226074,1.77610438391566,1.65599133379757
"Kam_Z20227",1.71216540560126,1.82681876420975,1.96151181962341,1.82904054559395
"Kam_Z20231",1.93844655752182,2.10788798332214,2.28124897927046,2.10655055570602
"Kam_Z20233",1,1,1,1
"Kam_Z20238",1,1,1,1
"Kam_Z20242",1,1,1,1
"Kam_Z20245",2.73784640133381,3.00415763258934,3.28956654965878,3.00732561486959
"Kam_Z20247",1.23607764840126,1.33677577972412,1.45455248653889,1.33970752114058
"Kam_Z20248",1,1,1,1
"Kam_Z20249",1.39980445802212,1.50583618879318,1.61745025515556,1.5042132012248
"Kam_Z20252",1,1,1,1
"Kam_Z20256",1,1,1,1
"Kam_Z20262",1,1,1,1
"Kam_Z20263",1,1,1,1
"Kam_Z20264",1,1,1,1.00003624546528
"Kam_Z20265",1,1,1,1
"Kam_Z20267",1.83948196358979,1.92386901378632,1.97816965733655,1.91883467014227
"Kam_Z20268",1.45521437078714,1.59099113941193,1.76311676204205,1.59682206571102
"Kam_Z20271",1,1,1,1
"Kam_Z20272",1,1,1,1.00003919732571
"Kam_Z20273",1,1,1.06123286038637,1.00415892553329
"Kam_Z20278",1.77475376278162,1.94065177440643,2.13192815035582,1.94216079950333
"Kam_Z20279",1,1,1,1
"Kam_Z20284",1.37365839928389,1.49096891283989,1.60979179516435,1.48864999273419
"Kam_Z20287",1,1,1,1
"Kam_Z20288",1,1,1,1
"Kam_Z20289",1,1,1,1
"Kam_Z20291",1,1,1,1
"Kam_Z20293",1,1,1,1
"Kam_Z20302",1.55795284807682,1.6881490945816,1.85024762153625,1.69267595458031
"Kam_Z20305",1,1,1,1
"Kam_Z20308",1.32352421432734,1.41638296842575,1.53609119206667,1.42123734715581
"Kam_Z20309",2.74731389135122,2.98466475307941,3.2182275377214,2.98095333538949
"Kam_Z20312",1,1,1,1
"Kam_Z20313",1.41930147707462,1.53073632717133,1.64397410079837,1.53264031857252
"Kam_Z20314",1,1.04726076126099,1.1154578357935,1.04526364612579
"Kam_Z20315",2.17838414907455,2.37317809462547,2.62068810909986,2.37718319812417
"Kam_Z20316",2.52125745639205,2.76328872144222,3.01172428429127,2.76328001666069
"Kam_Z20317",1,1,1,1
"Kam_Z20318",1,1,1,1
"Kam_Z20320",2.229996073246,2.46225124597549,2.70993111729622,2.46494404679537
"Kam_Z20323",2.95234087556601,3.2371648401022,3.55834745317698,3.24320137149096
"Kam_Z20324",1.73996465355158,1.8431923687458,1.93125675786287,1.8400527198296
"Kam_Z20328",1,1,1,1
"Kam_Z20330",1,1,1,1
"Kam_Z20332",1,1,1,1
"Kam_Z20335",1,1,1,1
"Kam_Z20336",1,1,1,1
"Kam_Z20337",1,1,1,1
"Kam_Z20338",1,1,1,1
"Kam_Z20339",1.25260150879622,1.34668946266174,1.45379580110312,1.34894577500224
"Kam_Z20340",1,1,1,1
"Kam_Z20341",1,1,1,1
"Kam_Z20342",1,1,1,1
"Kam_Z20343",1.62781599760056,1.77125096321106,1.94032686948776,1.77063577187061
"Kam_Z20344",1.50132807940245,1.61464285850525,1.72372268885374,1.61285651358962
"Kam_Z20347",1,1,1,1
"Kam_Z20349",1.78131817504764,1.97810286283493,2.20491392314434,1.97728592115827
"Kam_Z20353",1,1,1,1
"Kam_Z20354",1,1,1,1
"Kam_Z20362",1,1,1,1
"Kam_Z20366",1.66972097679973,1.77854285389185,1.87709037363529,1.77746712985635
"Kam_Z20369",1.36540673971176,1.46557986736298,1.59024258255959,1.46782100728154
"Kam_Z20370",1,1,1,1
"Kam_Z20371",1,1,1.06815282851458,1.0079787479043
"Kam_Z20372",1,1,1.0627496778965,1.00422726976871
"Kam_Z20378",1.77784669212997,1.8824188709259,2.17572350203991,1.9017387609221
"Kam_Z20380",1.42341959327459,1.54016971588135,1.65698767080903,1.53945766119659
"Kam_Z20382",1,1,1,1
"Kam_Z20388",1.54020584151149,1.65821696817875,1.76314350366592,1.65875592848659
"Kam_Z20390",1.63869727030396,1.7536872625351,1.85745697915554,1.7523823633939
"Kam_Z20394",1.07650801241398,1.13148966431618,1.21254285722971,1.13600170522928
"Kam_Z20395",1,1,1,1
"Kam_Z20396",2.83457480967045,3.079375654459,3.31063992679119,3.07803918115795
"Kam_Z20398",1.56885441690683,1.68566800653934,1.78894884698093,1.68476346696913
"Kam_Z20399",1,1,1,1
"Kam_Z20400",3.21911399960518,3.50759047269821,3.8064320653677,3.50380759936571
"Kam_Z20404",1.36205936074257,1.49059730768204,1.63643780052662,1.49098948836327
"Kam_Z20405",1.681331127882,1.79634413123131,1.89879132546484,1.79251754067466
"Kam_Z20415",1,1,1,1.000039675951
"Kam_Z20416",1.20872831791639,1.30339655280113,1.40265785306692,1.30369065129757
"Kam_Z20417",1.20066014528275,1.30309936404228,1.4072285220027,1.30381701767445
"Kam_Z20419",1,1,1,1
"Maz_IM-23-122-AADO",1.811005493626,1.90803421661258,1.97095292238519,1.90418669699272
"Maz_IM-23-122-AGLG",1.80998749397695,1.89379136636853,1.96006870437413,1.8920207370331
"Maz_IM-23-122-AYZM",2.89282392412424,3.1607703268528,3.42838824316859,3.16122024798393
"Maz_IM-23-122-BBQQ",1,1,1,1
"Maz_IM-23-122-BLDK",1,1,1,1
"Maz_IM-23-122-CJFA",2.52364536225796,2.75281298160553,3.03062723129988,2.7594853541255
"Maz_IM-23-122-CZIR",1,1,1,1
"Maz_IM-23-122-GBHJ",3.37381383255124,3.61855994910002,3.85639745593071,3.61654368759878
"Maz_IM-23-122-GLML",1.07120106369257,1.1293095946312,1.20554016828537,1.13197980499268
"Maz_IM-23-122-GUJH",1.81190309412777,1.89438945800066,1.96134265484288,1.89273147989064
"Maz_IM-23-122-HJWU",1.13832810223103,1.21784695982933,1.31185461431742,1.22054453325272
