"locus","post_stat_lower","post_stat_med","post_stat_upper","post_stat_mean"
"Pf3D7_01_v3-145388-145662-1A",0.604477629386944,0.644350254787483,0.679221549598615,0.643678225870968
"Pf3D7_01_v3-162867-163115-1A",0.610830254419444,0.653046401820211,0.687743362479792,0.651855350961532
"Pf3D7_01_v3-181512-181761-1A",0.678075126034835,0.700884607514461,0.718580683344935,0.699982420280962
"Pf3D7_01_v3-455794-456054-1A",0.280374977846344,0.329005963770463,0.376857423793175,0.329135282145922
"Pf3D7_01_v3-528859-529104-1A",0.801787322333536,0.820673450398839,0.835402853622168,0.820310362343815
"Pf3D7_01_v3-535965-536239-1A",0.801607869253109,0.81827102461964,0.83303978741106,0.818096459830454
"Pf3D7_02_v3-290580-290821-1A",0.590691512907673,0.624635353370775,0.653605261483392,0.624513113791809
"Pf3D7_02_v3-291770-292017-1A",0.711893175210037,0.72474742021671,0.736425287440453,0.724505475360381
"Pf3D7_02_v3-470437-470709-1A",0.669938685356467,0.686667816374734,0.702159997425036,0.686577627490656
"Pf3D7_02_v3-503040-503288-1A",0.481070470785846,0.497413602765124,0.506680286642159,0.496406977319827
"Pf3D7_02_v3-628941-629172-1A",0.734418380503171,0.744895077768034,0.755413991536049,0.744896040075786
"Pf3D7_02_v3-630641-630907-1A",0.584056440886861,0.606928554774917,0.631249009493035,0.607530795334111
"Pf3D7_03_v3-515418-515657-1A",0.591582832144785,0.611588812792827,0.629726626309771,0.611361807522192
"Pf3D7_03_v3-653961-654206-1A",0.432156833356855,0.462665306707831,0.485134265921952,0.461675263849837
"Pf3D7_03_v3-85507-85756-1A",0.636693229247142,0.668324172247326,0.695941964096307,0.667715458737376
"Pf3D7_03_v3-855426-855697-1A",0.411006099641459,0.458414847434056,0.502894787284832,0.457395977635845
"Pf3D7_03_v3-891553-891827-1A",0.79801756484027,0.818270624571969,0.837750941185093,0.818292648946049
"Pf3D7_04_v3-1005938-1006187-1A",0.683550648915171,0.714561202247697,0.740955689362962,0.713723292031027
"Pf3D7_04_v3-1037644-1037891-1A",0.42644256147735,0.455397167663601,0.475834555787575,0.455269925360039
"Pf3D7_04_v3-109939-110184-1A",0.638261377205738,0.66414034890834,0.685945405693658,0.663556014650024
"Pf3D7_04_v3-1113397-1113639-1A",0.664893900866256,0.689847252560332,0.710719552538188,0.689319588881556
