"locus","post_stat_lower","post_stat_med","post_stat_upper","post_stat_mean"
"Pf3D7_01_v3-145388-145662-1A",0.592903082646708,0.648892842621112,0.692996875690753,0.647463479961082
"Pf3D7_01_v3-162867-163115-1A",0.545430570790374,0.608018651834694,0.667828595778935,0.607332199377554
"Pf3D7_01_v3-181512-181761-1A",0.632886759776533,0.662603687244356,0.68697950724344,0.66253618401792
"Pf3D7_01_v3-455794-456054-1A",0.275508936747822,0.347072478658407,0.420166911164198,0.34680006154517
"Pf3D7_01_v3-528859-529104-1A",0.804464733877462,0.830583821331373,0.851884884442422,0.829862536929896
"Pf3D7_01_v3-535965-536239-1A",0.778658078352352,0.804092630626256,0.824837416348158,0.803501010832773
"Pf3D7_02_v3-290580-290821-1A",0.584049581345731,0.629338548945203,0.666720820225406,0.62853767590694
"Pf3D7_02_v3-291770-292017-1A",0.697547618117733,0.710438117524538,0.720393640360089,0.709749541471041
"Pf3D7_02_v3-470437-470709-1A",0.663236799764114,0.689056504119363,0.709726029038014,0.688211419084302
"Pf3D7_02_v3-503040-503288-1A",0.459896923616921,0.488708926155505,0.50063365316037,0.486151138437903
"Pf3D7_02_v3-628941-629172-1A",0.715023992735129,0.742354545715136,0.761498551439666,0.741163981663064
"Pf3D7_02_v3-630641-630907-1A",0.587799528500483,0.628654159093121,0.665628347206458,0.628487869126396
"Pf3D7_03_v3-515418-515657-1A",0.566660436600739,0.597806046672592,0.627845948995116,0.597596443621695
"Pf3D7_03_v3-653961-654206-1A",0.437856330502781,0.478071820886594,0.501252783534812,0.475758252111126
"Pf3D7_03_v3-85507-85756-1A",0.60721721036057,0.661041186169773,0.697183337559049,0.658718098529335
"Pf3D7_03_v3-855426-855697-1A",0.441400608645453,0.506331066384919,0.564314752346869,0.504719932738183
"Pf3D7_03_v3-891553-891827-1A",0.770502482747632,0.803740334360509,0.833433698385232,0.803549700390259
"Pf3D7_04_v3-1005938-1006187-1A",0.656422283115482,0.690764102335445,0.724375810255101,0.690671496142953
"Pf3D7_04_v3-1037644-1037891-1A",0.431252620838685,0.471530271181728,0.494377871090677,0.468948595240486
"Pf3D7_04_v3-109939-110184-1A",0.672756057016107,0.692681415384016,0.71055755526382,0.692733660390986
"Pf3D7_04_v3-1113397-1113639-1A",0.624209486609501,0.662608988726884,0.698151755805847,0.661965517147339
"Pf3D7_04_v3-115455-115684-1A",0.769784431507311,0.799293604343646,0.821432198908092,0.79876122287661
"Pf3D7_04_v3-133581-133830-1A",0.388319761602148,0.459829068852804,0.541496225937578,0.46139295755247
"Pf3D7_04_v3-133928-134154-1A",0.45953114830266,0.507641528344733,0.55172853113049,0.506911583828021
"Pf3D7_04_v3-140317-140548-1A",0.467862980340383,0.494033083673759,0.499980064047606,0.491606313508433
"Pf3D7_04_v3-141741-141990-1A",0.573559816421086,0.62020489535948,0.665875356546441,0.620478057994354
"Pf3D7_04_v3-284121-284364-1A",0.502642460226095,0.576796480676816,0.641264539152532,0.574592120914894
"Pf3D7_04_v3-544454-544718-1A",0.733699815343729,0.767704023313297,0.793725089880657,0.766946630797975
"Pf3D7_04_v3-648065-648332-1A",0.473096254488228,0.511309741852632,0.54344780753336,0.51067067887792
"Pf3D7_04_v3-900526-900759-1A",0.449183903037369,0.499036501034212,0.535407168379229,0.496801732835316
"Pf3D7_05_v3-1188456-1188706-1A",0.815411729905159,0.831279531959029,0.844037986735016,0.830828438912461
"Pf3D7_05_v3-1322099-1322341-1A",0.730403627630693,0.762981388363583,0.788186353265676,0.762106589553285
"Pf3D7_05_v3-213027-213251-1A",0.666512086117342,0.693062704851873,0.731750409199577,0.694793283635549
"Pf3D7_05_v3-350808-351052-1A",0.660709111120804,0.690816906794083,0.725408173760052,0.69124651952075
